CountryName,EU,Euro,Year,PurchasePower(USD)
Albania,,,1992,1823
Albania,,,1993,2057
Albania,,,1994,2289
Albania,,,1995,2665
Albania,,,1996,2979
Albania,,,1997,2717
Albania,,,1998,3021
Albania,,,1999,3472
Albania,,,2000,3862
Albania,,,2001,4301
Albania,,,2002,4661
Albania,,,2003,4995
Albania,,,2004,5423
Albania,,,2005,5865
Albania,,,2006,6558
Albania,,,2007,7275
Albania,,,2008,8228
Albania,,,2009,8820
Albania,,,2010,9636
Albania,,,2011,10208
Albania,,,2012,10526
Albania,,,2013,10571
Albania,,,2014,11259
Albania,,,2015,11659
Albania,,,2016,12079
Albania,,,2017,12812
Albania,,,2018,13974
Albania,,,2019,14648
Montenegro,,,1990,
Montenegro,,,1991,
Montenegro,,,1992,
Montenegro,,,1993,
Montenegro,,,1994,
Montenegro,,,1995,
Montenegro,,,1996,
Montenegro,,,1997,
Montenegro,,,1998,
Montenegro,,,1999,
Montenegro,,,2000,6004
Montenegro,,,2001,6773
Montenegro,,,2002,7100
Montenegro,,,2003,7333
Montenegro,,,2004,7836
Montenegro,,,2005,8314
Montenegro,,,2006,10445
Montenegro,,,2007,12444
Montenegro,,,2008,13817
Montenegro,,,2009,13032
Montenegro,,,2010,13646
Montenegro,,,2011,14472
Montenegro,,,2012,13864
Montenegro,,,2013,14870
Montenegro,,,2014,15371
Montenegro,,,2015,16333
Montenegro,,,2016,18199
Montenegro,,,2017,19745
Montenegro,,,2018,22227
Montenegro,,,2019,24036
Serbia,,,1990,
Serbia,,,1991,
Serbia,,,1992,
Serbia,,,1993,
Serbia,,,1994,
Serbia,,,1995,4828
Serbia,,,1996,5229
Serbia,,,1997,5719
Serbia,,,1998,5999
Serbia,,,1999,5532
Serbia,,,2000,6022
Serbia,,,2001,6485
Serbia,,,2002,7225
Serbia,,,2003,7638
Serbia,,,2004,8481
Serbia,,,2005,9182
Serbia,,,2006,10196
Serbia,,,2007,11223
Serbia,,,2008,12632
Serbia,,,2009,12543
Serbia,,,2010,12808
Serbia,,,2011,13747
Serbia,,,2012,13934
Serbia,,,2013,14629
Serbia,,,2014,14660
Serbia,,,2015,14928
Serbia,,,2016,15858
Serbia,,,2017,16664
Serbia,,,2018,18296
Serbia,,,2019,19495
Bosnia&Herzegovina,,,1990,
Bosnia&Herzegovina,,,1991,
Bosnia&Herzegovina,,,1992,
Bosnia&Herzegovina,,,1993,
Bosnia&Herzegovina,,,1994,953
Bosnia&Herzegovina,,,1995,1209
Bosnia&Herzegovina,,,1996,2365
Bosnia&Herzegovina,,,1997,3258
Bosnia&Herzegovina,,,1998,3811
Bosnia&Herzegovina,,,1999,4227
Bosnia&Herzegovina,,,2000,4549
Bosnia&Herzegovina,,,2001,4751
Bosnia&Herzegovina,,,2002,5137
Bosnia&Herzegovina,,,2003,5374
Bosnia&Herzegovina,,,2004,6201
Bosnia&Herzegovina,,,2005,6480
Bosnia&Herzegovina,,,2006,7404
Bosnia&Herzegovina,,,2007,8187
Bosnia&Herzegovina,,,2008,9029
Bosnia&Herzegovina,,,2009,9035
Bosnia&Herzegovina,,,2010,9355
Bosnia&Herzegovina,,,2011,9976
Bosnia&Herzegovina,,,2012,10304
Bosnia&Herzegovina,,,2013,11017
Bosnia&Herzegovina,,,2014,11433
Bosnia&Herzegovina,,,2015,12011
Bosnia&Herzegovina,,,2016,13072
Bosnia&Herzegovina,,,2017,13798
Bosnia&Herzegovina,,,2018,15388
Bosnia&Herzegovina,,,2019,16289
Kosovo,,,1990,
Kosovo,,,1991,
Kosovo,,,1992,
Kosovo,,,1993,
Kosovo,,,1994,
Kosovo,,,1995,
Kosovo,,,1996,
Kosovo,,,1997,
Kosovo,,,1998,
Kosovo,,,1999,
Kosovo,,,2000,3561
Kosovo,,,2001,4618
Kosovo,,,2002,4655
Kosovo,,,2003,5021
Kosovo,,,2004,5287
Kosovo,,,2005,5777
Kosovo,,,2006,6170
Kosovo,,,2007,6743
Kosovo,,,2008,7250
Kosovo,,,2009,7507
Kosovo,,,2010,7783
Kosovo,,,2011,8222
Kosovo,,,2012,8477
Kosovo,,,2013,8805
Kosovo,,,2014,9043
Kosovo,,,2015,9576
Kosovo,,,2016,10062
Kosovo,,,2017,10530
Kosovo,,,2018,11161
Kosovo,,,2019,11871
Montenegro,,,1990,
Montenegro,,,1991,
Montenegro,,,1992,
Montenegro,,,1993,
Montenegro,,,1994,
Montenegro,,,1995,
Montenegro,,,1996,
Montenegro,,,1997,
Montenegro,,,1998,
Montenegro,,,1999,
Montenegro,,,2000,6004
Montenegro,,,2001,6773
Montenegro,,,2002,7100
Montenegro,,,2003,7333
Montenegro,,,2004,7836
Montenegro,,,2005,8314
Montenegro,,,2006,10445
Montenegro,,,2007,12444
Montenegro,,,2008,13817
Montenegro,,,2009,13032
Montenegro,,,2010,13646
Montenegro,,,2011,14472
Montenegro,,,2012,13864
Montenegro,,,2013,14870
Montenegro,,,2014,15371
Montenegro,,,2015,16333
Montenegro,,,2016,18199
Montenegro,,,2017,19745
Montenegro,,,2018,22227
Montenegro,,,2019,24036
North Macedonia,,,1990,5526
North Macedonia,,,1991,5369
North Macedonia,,,1992,5142
North Macedonia,,,1993,4882
North Macedonia,,,1994,4905
North Macedonia,,,1995,4948
North Macedonia,,,1996,5082
North Macedonia,,,1997,5218
North Macedonia,,,1998,5436
North Macedonia,,,1999,5704
North Macedonia,,,2000,6129
North Macedonia,,,2001,6029
North Macedonia,,,2002,6305
North Macedonia,,,2003,6503
North Macedonia,,,2004,7081
North Macedonia,,,2005,7760
North Macedonia,,,2006,8582
North Macedonia,,,2007,9241
North Macedonia,,,2008,10418
North Macedonia,,,2009,10920
North Macedonia,,,2010,11283
North Macedonia,,,2011,11611
North Macedonia,,,2012,11840
North Macedonia,,,2013,12654
North Macedonia,,,2014,13368
North Macedonia,,,2015,13827
North Macedonia,,,2016,15078
North Macedonia,,,2017,15700
North Macedonia,,,2018,17198
North Macedonia,,,2019,18108
